step,msd_global,n_round,n_elongated
0,0.0,500,0
100,11.882128060636333,500,0
200,202.33547042457738,0,500
300,347.87472922734975,0,500
400,498.5158474214169,2,498
500,652.935102414755,0,500
600,778.4080734955028,2,498
700,904.3073700401935,0,500
800,1030.3612629815268,0,500
900,1142.646004657469,0,500
1000,1274.357966907821,3,497
1100,1400.0517169894408,3,497
1200,1524.4438057511472,6,494
1300,1632.4361734334425,5,495
1400,1730.9123075063699,0,500
1500,1833.5853566900842,0,500
1600,1927.5786921235144,1,499
1700,2050.198598040152,2,498
1800,2240.5251974477283,1,499
1900,2381.4271990362718,1,499
2000,2610.523727247997,2,498
2100,2848.323782104023,1,499
2200,3073.12878674381,2,498
2300,3234.12245068974,0,500
2400,3403.7897179811857,0,500
2500,3527.0912298715793,2,498
2600,3731.4295173509004,0,500
2700,3877.304604106988,0,500
2800,4089.1312086137996,0,500
2900,4246.1823095827995,0,500
3000,4343.984069867625,0,500
3100,4393.634278900212,3,497
3200,4573.484486702023,2,498
3300,4745.668285182757,7,493
3400,4904.397597490056,4,496
3500,5147.422566027294,3,497
3600,5385.160471833268,3,497
3700,5662.288377506981,10,490
3800,5761.758035002463,12,488
3900,5885.292897189658,8,492
4000,6040.211676449118,6,494
4100,6362.34093544169,7,493
4200,6610.779782193855,1,499
4300,6703.109933402993,0,500
4400,6776.527163884573,0,500
4500,6687.192630240917,1,499
4600,6857.5477428840895,1,499
4700,7147.861252549874,1,499
4800,7384.707120999939,1,499
4900,7701.577436148686,3,497
5000,7942.404184365039,6,494
5100,8192.50852772879,7,493
5200,8435.745755802927,5,495
5300,8838.42485049818,1,499
5400,9225.465203797303,1,499
5500,9524.700148378202,3,497
5600,9884.455883356564,1,499
5700,10093.577139247032,1,499
5800,10526.565309510765,5,495
5900,10956.775064193704,6,494
6000,11293.342673436395,3,497
6100,11719.563744925677,2,498
6200,12107.058594020396,0,500
6300,12613.082397244618,0,500
6400,12983.044746757534,2,498
6500,13403.05313570318,0,500
