density,nematic,polar,nematic_2,polar_2,fraction_elongated,nematic_std,polar_std,nematic_2_std,polar_2_std,fraction_elongated_std,n_realizations,nematic_u4,polar_u4,nematic_2_u4,polar_2_u4,fraction_elongated_u4
0.75,0.9270795084713619,0.657104303708677,0.923607751867584,0.6554388522212604,0.9962928125000001,0.03151839263413819,0.2994463582188569,0.03220026019330716,0.299784849838324,0.011280686327869284,64,0.6652033038234284,0.5234491348758489,0.6651178021331092,0.5227836333430378,0.6665067468662793
0.8,0.9391576704005444,0.6320449154371481,0.9289914078942454,0.6267698901256709,0.9892615625000001,0.01967579966989918,0.24459795537347942,0.03407813606877545,0.24738416774301655,0.03225257155829608,64,0.6660911520738364,0.5416469434979776,0.6650689462051593,0.5360000818756818,0.6654749404234008
0.81,0.8522874393201558,0.5781321610309936,0.8306193146829528,0.5686484709249944,0.88593375,0.26924308001428593,0.3064942932371795,0.27407747866314414,0.3145276008331753,0.29175530688716766,64,0.6316327914126745,0.4853865704152003,0.6278316021134374,0.4756798423573685,0.6284137398568543
0.82,0.8214799815910057,0.572332211772232,0.8142172303126398,0.5690873658321345,0.8672425000000001,0.3136303859051655,0.34415590018598397,0.31242174270837225,0.3449052858501007,0.33197795835227684,64,0.6182133975108679,0.4754168272483311,0.6165823807188797,0.47175684124250195,0.617505834681455
0.83,0.7435661245189067,0.5570565423155203,0.7243347203564867,0.5486491523477823,0.7763681250000001,0.3793003304640988,0.35305246033843846,0.3730601018827588,0.35430337710962795,0.39906361203099217,64,0.5801580399641976,0.471413287037325,0.5745372308015237,0.4614460133719229,0.5759835496789965
0.84,0.6353621337602405,0.4690621295635385,0.6213271973194805,0.45808578480038503,0.6688534375,0.43514443190761426,0.3666176368696924,0.4318972839560071,0.3636003037728795,0.45951630808657906,64,0.5088388716597709,0.36797935910898494,0.5002094911498844,0.35249345669362286,0.5060693336283799
0.85,0.43190279834203155,0.29108689027074935,0.41085548454661225,0.27587231428539205,0.44347187499999996,0.46495851991505216,0.36932859809219215,0.4500718114598697,0.3544680960759805,0.48255827860518236,64,0.2806306923344395,-0.07057954765716667,0.24876518417218985,-0.12988701754232812,0.2593743757181298
0.86,0.33339333093245893,0.25569529365470756,0.28092064777937104,0.20944204078571313,0.30267312500000004,0.45037424459466346,0.37928864175466026,0.4144720476233678,0.3404845486464992,0.44304319579033274,64,0.0574614430192838,-0.18513139220162333,-0.09345405156311282,-0.41401872456899125,-0.07532526821969965
0.87,0.1453251177778489,0.07319920140386829,0.1199710815375051,0.05323738572134318,0.12865000000000004,0.341133955887003,0.2086314474824758,0.3040989533548083,0.16281167788808842,0.3239552240861358,64,-1.1610138926955837,-3.843958620028773,-1.563121805391873,-4.934275975982888,-1.5085908534501136
0.88,0.04024401453998194,0.033095196779176383,0.02587723916612806,0.023209120686730325,0.029879062499999998,0.18433809968998152,0.15563721672989328,0.12964349636071784,0.12436295112670538,0.14756711099268086,64,-6.496645442194,-7.625675722625942,-11.500996740193093,-13.305764671489419,-10.520402279503342
0.89,0.022721953186335755,0.02417216813127967,0.0035798625932258357,0.0037984688683202466,0.004746249999999999,0.13317419769515507,0.14072627925362585,0.02160532515857447,0.022745309194704903,0.026805777362352307,64,-12.837582393407985,-12.4000400296641,-14.54682287306428,-14.119081969297483,-10.185676156662057
0.9,0.06247140762571743,0.06249284625319611,7.806781525142813e-05,7.81106925063875e-05,7.8125e-05,0.24386348677085073,0.24394709798374553,0.000323554679681931,0.0003238130016395108,0.00032389923477173314,64,-4.333346727621925,-4.333334171802358,-7.255723276458879,-7.268008531727604,-7.272108843537419
